"X","fov","volume","center_x","center_y"
2674,1866,710.805488905794,10489.9876570124,9081.20024082038
2676,1866,698.092705246089,10548.4723625447,9082.09159915039
2678,1866,311.309332932115,10496.8980561968,9079.71814141084
2682,1866,1106.67222323928,10486.1537324905,9088.05160767645
2684,1866,1382.69914654623,10518.7848609979,9088.48647998252
2687,1866,677.581596483326,10444.5839150186,9087.57398550234
2688,1866,1202.6720859283,10476.8866295192,9089.03941502399
2689,1866,1252.49420328325,10502.2642664546,9088.61976591699
2691,1866,284.012433999223,10434.6183008344,9088.11135083276
2692,1866,649.991073120677,10411.1796681387,9093.1253154245
2693,1866,1064.84701980448,10535.3674974238,9092.98027681055
2695,1866,706.119375020478,10553.2443354131,9092.421198188
2697,1866,349.90889151163,10548.9149654167,9091.1588907215
2698,1866,646.660219864533,10596.265962269,9092.30039219235
2699,1866,759.760932366903,10560.4627935391,9093.95884869881
2700,1866,1162.10764123746,10445.3228326155,9096.50209508959
2702,1866,1276.6878513279,10478.5526854285,9100.3907610605
2704,1866,1525.37242044376,10519.4471588784,9099.51714579572
2708,1866,442.287425671131,10491.0681938398,9100.64392523277
2715,1866,692.738241454634,10506.5098413514,9105.98873531692
2718,1866,374.237644332836,10534.8964246221,9105.26478373959
2721,1866,1072.09361569571,10402.4626702696,9107.96309053791
2722,1866,1000.94542803437,10581.3931889633,9108.38899500404
2726,1866,875.405616215834,10543.9726793763,9109.24918599444
2727,1866,1016.27472553369,10566.4027443726,9109.98543931368
2731,1866,601.695511964902,10555.8169267664,9109.19574458246
2732,1866,1671.68134902817,10475.8826873525,9115.02152078652
2734,1866,1223.23348404423,10515.4434154949,9113.19156537059
2738,1866,865.499620204042,10527.3919754801,9113.23621163163
2744,1866,582.049389233766,10555.6623849226,9115.44547043268
2745,1866,742.563316310336,10485.352862056,9118.7130692898
2746,1866,407.944968556358,10506.9541116161,9116.98084288513
2747,1866,332.994694702199,10541.3709065435,9116.45101879347
2749,1866,706.247787125483,10494.5733985024,9118.08226457947
2750,1866,549.055337534382,10549.5349524091,9118.91287472266
2752,1866,424.386238917545,10535.2673758824,9118.91340402144
2755,1866,487.841109624386,10565.8093581214,9120.46291855779
2757,1866,556.356512243713,10525.572759517,9125.14707649103
2758,1866,797.06160925342,10435.688498131,9125.1094519978
2760,1866,708.401221514854,10555.9817109962,9126.29162561485
2762,1866,330.801271407407,10506.1126985031,9127.2582913043
2763,1866,1629.10457288487,10583.5276643069,9130.30176943772
2767,1866,747.412527994704,10473.5527591028,9129.82528129788
2771,1866,383.622909661056,10420.3062785002,9132.65920927402
2772,1866,1177.66163057341,10451.5521175665,9133.93251985904
2773,1866,591.795731161708,10515.8340371623,9133.79552748307
2775,1866,975.290221426645,10594.2170138392,9136.42165362952
2777,1866,684.798026450459,10437.2911209719,9136.41065142899
2778,1866,915.613393927797,10571.9271056846,9136.43363337505
2781,1866,406.115510256956,10557.1968196178,9135.05221845332
2782,1866,968.562381634353,10541.4234464796,9138.61846661916
2785,1866,1659.49306648975,10583.4167605479,9145.55185507783
2786,1866,1105.6968260745,10559.4086442094,9142.71329668227
2788,1866,341.524506455714,10510.3829449594,9141.24932459526
2791,1866,413.183686684633,10596.7428999431,9146.95693519572
2793,1866,1067.56244530208,10523.5567899648,9152.98788844316
2797,1866,528.539303296191,10546.9411886559,9152.05002223451
2798,1866,1108.08414499946,10553.1387544807,9155.16097662167
2800,1866,1371.5296716998,10532.0532461692,9158.33905464869
2803,1866,714.584444860691,10590.1994137835,9155.33204375464
2806,1866,612.121908988983,10575.946552519,9156.3920858611
2809,1866,775.753930065964,10508.9095916598,9163.27238811362
2811,1866,831.551976464779,10547.8386347087,9166.72101061245
2812,1866,974.03228109477,10576.5485273712,9168.79406698978
2813,1866,491.521022913924,10566.6065085928,9168.35323151348
2816,1866,712.337991823918,10561.9856802514,9173.14829061076
2819,1866,346.22265342998,10484.754005398,9176.67309730578
2822,1866,1501.62957302355,10504.3954552341,9182.99611100459
2830,1866,847.716957353069,10550.6072622694,9187.8029936821
2837,1866,982.650925629228,10578.2547256616,9195.0127008941
2839,1866,1127.23138902424,10523.6574280643,9196.24714732946
3061,1866,450.987103928672,10402.2235380233,9000.10506725922
3064,1866,298.182073032398,10404.5052022775,9004.54189194672
3066,1866,227.1861187014,10556.7114867685,9013.4703612217
3067,1866,508.441860375315,10511.7393656314,9017.08081004833
3068,1866,233.67811327835,10456.027161143,9017.09731086517
3069,1866,616.409718530726,10560.1744264425,9020.03239355296
3070,1866,250.326407532315,10460.7571759553,9018.84917581008
3071,1866,1115.00536662913,10589.7297598154,9022.76283368007
3072,1866,514.487048753934,10493.6867022136,9021.47733377917
3077,1866,331.461412856882,10501.715661995,9026.28558533285
3078,1866,112.432459605803,10492.3328831776,9032.45015088508
3079,1866,833.732673556183,10502.0812671549,9036.33082996299
3080,1866,352.655467462973,10416.0693717455,9040.77469488597
3082,1866,642.683630287489,10478.0823988038,9051.31041967645
3087,1866,421.777705924715,10505.2654855871,9059.10486942837
3089,1866,290.044123013495,10585.0893534598,9061.12460448764
3090,1866,225.358652846625,10493.9047104976,9059.92583809335
3091,1866,121.188800841627,10516.6007695685,9060.64051230812
3097,1866,325.736530279365,10506.9382855326,9065.49567489743
3102,1866,269.151057722021,10585.3920684609,9070.95663193831
3104,1866,468.365160365068,10538.3389363857,9074.13409993795
3107,1866,790.932425385832,10527.5227277363,9076.80791535448
3108,1866,479.282915083174,10460.7572306567,9076.85104926384
3109,1866,369.556786702835,10591.8921178455,9078.208419862
3114,1866,708.987380534736,10399.1699344729,9087.20050370192
3118,1866,436.246670567108,10430.5273322567,9085.57242782275
3119,1866,428.575629361625,10530.9160361313,9084.77055057954
3120,1866,337.252770480054,10593.6705590408,9084.6344011829
3121,1866,419.653128978032,10568.8961175054,9088.7535323351
3130,1866,361.924598294957,10578.2353752007,9100.19677094844
3133,1866,507.189211717205,10497.8743275706,9105.35660098773
3140,1866,335.750256781257,10501.4785550493,9113.74893497689
3141,1866,208.161606764261,10595.141596955,9112.63775495036
3142,1866,660.631766608983,10417.095271409,9117.66659196328
3145,1866,517.213870289938,10573.3949287459,9124.43090239836
3147,1866,525.792070957742,10515.5699056342,9126.32636072636
3148,1866,459.361003481757,10460.7313889307,9129.38670028235
3149,1866,343.494712997424,10422.3784979617,9129.02269763896
3150,1866,429.276097418684,10536.2753912221,9131.12369901597
3153,1866,344.123819442177,10429.6201514122,9134.58314373647
3154,1866,445.024930594546,10528.1120207807,9135.84265793958
3156,1866,747.057409404328,10482.4810342875,9145.96309869111
3158,1866,468.506931278765,10573.3279351205,9149.57997707784
3162,1866,145.140231818932,10529.4851142464,9178.00214388485
3166,1866,711.730389653679,10571.7967073403,9182.35515015101
18697,1867,589.245106237663,10784.5379010091,8996.23314180698
18728,1867,540.166733873696,10741.0404799699,9025.82802964154
18729,1867,933.205980489133,10765.6522950367,9029.36061922112
18733,1867,634.947398916546,10775.3620391656,9030.91203695434
18739,1867,895.509915214896,10746.3210143297,9043.05990028734
18746,1867,839.601410995638,10756.6245512711,9048.94616229679
21729,1867,1203.43493316671,10710.3822365316,8995.76271047173
21735,1867,1088.13696605487,10676.7442658749,9000.21769574518
